Date,Dialer,Agent,COID,AID,Campaign,Company,Phone,Included on Output File,Submitted As,Passed Type,Incentive Value,Coaching Notes
1/11/2017,F,Allison Novak,003G0000024ivDyIAI,001G000001fHGXQIA4,Q1 2017 OTM  FLPMA SAM Conference,Aventura Foot & Ankle Center,3059356566,N,Booth Demo Booked,Sent Invite,$0.00 ,recode to sent inv
1/24/2017,F,Amy Day,003A000000diPLDIA2,001A000000W8rMzIAJ,Q1 2017 OTM New York State Podiatric Medical Association Clinical Conference and Exhibition,Louis D Jablin DPM,7184398888,x,Booth Demo Booked,Existing Customer,$0.00 ,recode to existing
1/26/2017,F,Ashley Defilippo,003G000002B3lKtIAJ,001G000000gwoGFIAY,OTM Responder - 2017 Feb Baltimore Dinner Seminar,Summit Surgery Center,4104941402,x,ISA Call Requested,DM_Not_Interested,$0.00 ,recode to DM ref
1/3/2017,F,Josh Deschaine,003A000000fycunIAA,001A000000Oqy2tIAB,OTM Responder - 2017 Jan Houston Dinner Seminar,Salim A Lakhani MD,7138689994,N,Registered,Sent Invite,$0.00 ,recode to sent inv
1/3/2017,F,Josh Deschaine,003A000000bjyNAIAY,001A000000W8ZnIIAV,OTM Responder - 2017 Jan Tampa Dinner Seminar,Eleanine Hardy Hunter MD,8138851418,N,Registered,Sent Invite,$0.00 ,recode to sent inv
1/4/2017,F,John Bonetti,003A000000fZI0SIAW,001A000000W8ry7IAB,OTM Responder - 2017 Jan Houston Dinner Seminar,Gastroenterology Assocs Of TX,2812011338,N,Registered,Sent Invite,$0.00 ,Sent Invite
1/4/2017,F,Josh Deschaine,003A000000blFmyIAE,001A000000W8ds6IAB,OTM Responder - 2017 Jan Tampa Dinner Seminar,Daniel W Mcgrane MD,8137887662,N,Registered,Sent Invite,$0.00 ,Sent invite
1/4/2017,F,Kim Warnick,003A000000e8kUWIAY,001A000000W8xWMIAZ,OTM Responder - 2017 Jan Tampa Dinner Seminar,Sreenivas P Vangara MD,7278439200,x,Registered,Existing Customer,$0.00 ,Existing Customer
1/4/2017,F,Mitch Adams,003A000000czLoZIAU,001A000000W8TsKIAV,OTM Responder - 2017 Jan Tampa Dinner Seminar,Leonila D Camba MD,8137591290,N,Registered,Existing Customer,$0.00 ,Existing Customer
1/4/2017,F,Ryan Fish,003A000000bjvzmIAA,001A000000XyWcFIAV,OTM Responder - 2017 Jan Houston Dinner Seminar,Houston Pulmonary Medicine,2815578555,N,Registered,Sent Invite,$0.00 ,Sent invite
1/5/2017,F,Johanna DeJong,003A000000fYnWZIA0,001A000000W8rZ4IAJ,OTM Responder - 2017 Jan Costa Mesa Dinner Seminar,Julie V Copon DO,7148485240,N,Registered,Sent Invite,$0.00 ,Sent Invite
1/5/2017,F,Johanna DeJong,003A000000bl6hJIAQ,001A000000W8MjVIAV,OTM Responder - 2017 Jan Tampa Dinner Seminar,Orlando S Rangel MD,8136738245,N,Registered,Sent Invite,$0.00 ,Sent Invite
1/5/2017,F,John Bonetti,003G000002X5HPQIA3,001G000001y5I3KIAU,OTM Responder - 2017 Jan Houston Dinner Seminar,Grand Medical Clinic,2816915717,N,Registered,Sent Invite,$0.00 ,Sent Invite
1/5/2017,F,John Bonetti,003A000000fYlR9IAK,001A000000W9HxzIAF,OTM Responder - 2017 Jan Costa Mesa Dinner Seminar,Allergy & Asthma Specialists,7148488585,N,Registered,Sent Invite,$0.00 ,Sent Invite
1/5/2017,F,John Bonetti,003G000000re04oIAA,001G000000gwokMIAQ,OTM Responder - 2017 Jan Costa Mesa Dinner Seminar,Hing M Be DO Inc,7149915680,N,Registered,Sent Invite,$0.00 ,Sent Invite
